size,subject,layer,shape,mean_r,median_r,std_r,min_r,max_r,nan_count,inf_count,zero_ratio,positive_ratio,file
30B,8,46,"(10242,)",0.14413359049479868,0.159659577435521,0.05523953133770379,-0.19985439728487142,0.20834288507444965,0,0,0.0,0.9565514547939855,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer46/base_subj8_corrlh.npy
30B,4,47,"(10242,)",0.05296032905014093,0.05915126876190542,0.02113214288339468,-0.1155685249671158,0.13316852005034768,0,0,0.0,0.9593829330208944,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer47/base_subj4_corrlh.npy
30B,5,47,"(10242,)",0.09517007683664928,0.10616666092224313,0.044715271719498025,-0.23200338817492303,0.22101312754942648,0,0,0.0,0.9447373559851592,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer47/base_subj5_corrlh.npy
30B,6,47,"(10242,)",-0.04746466429061017,-0.05127710858678245,0.014549319879097161,-0.07356039957376999,0.06610764059336362,0,0,0.0,0.03173208357742628,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer47/base_subj6_corrlh.npy
30B,7,47,"(10242,)",0.08840372642410899,0.09504914754855048,0.02875918645760357,-0.14315909567548243,0.15361685845817424,0,0,0.0,0.9711970318297207,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer47/base_subj7_corrlh.npy
30B,8,47,"(10242,)",0.15930825373752858,0.1769448683477231,0.06339676565021954,-0.23262113957814104,0.24572618141490182,0,0,0.0,0.9550868970904121,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer47/base_subj8_corrlh.npy
30B,4,48,"(10242,)",-0.02118181084943348,-0.023122735306037194,0.013176101796167199,-0.15001543817697255,0.1785690487024038,0,0,0.0,0.04422964264792033,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer48/base_subj4_corrlh.npy
30B,5,48,"(10242,)",-0.07705110411368919,-0.0905758804331465,0.05135241424655555,-0.2942491558338277,0.26924885001613025,0,0,0.0,0.079867213434876,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer48/base_subj5_corrlh.npy
30B,6,48,"(10242,)",0.030888895858558498,0.03418101099491447,0.01253012073251741,-0.06701975813523631,0.0671386213731586,0,0,0.0,0.9568443663347003,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer48/base_subj6_corrlh.npy
30B,7,48,"(10242,)",0.0855981891612308,0.09171306830003673,0.025240511534080377,-0.0900683934061686,0.14666988909331755,0,0,0.0,0.9713923061901972,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer48/base_subj7_corrlh.npy
30B,8,48,"(10242,)",0.0796105114318326,0.08713993952742263,0.02947634748622301,-0.11099019621223204,0.18108934183390352,0,0,0.0,0.9576254637766062,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer48/base_subj8_corrlh.npy
30B,4,49,"(10242,)",0.10015975399301305,0.10540105053216108,0.02881718721444182,-0.17921723076407176,0.19408986586930582,0,0,0.0,0.977543448545206,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer49/base_subj4_corrlh.npy
30B,5,49,"(10242,)",-0.04599943109278096,-0.050621878711772914,0.03095059398382378,-0.21168770589479208,0.276292427706309,0,0,0.0,0.06287834407342316,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer49/base_subj5_corrlh.npy
30B,6,49,"(10242,)",0.006421963956893039,0.006373039822963294,0.006080723843690323,-0.05556556619026771,0.05769319324514435,0,0,0.0,0.9408318687756297,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer49/base_subj6_corrlh.npy
30B,7,49,"(10242,)",0.044944729056968405,0.047982907162502905,0.016214409823362988,-0.1050602523793734,0.1084903934675116,0,0,0.0,0.9702206600273384,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer49/base_subj7_corrlh.npy
30B,8,49,"(10242,)",0.15688032524614715,0.17155696307849144,0.055025909697904614,-0.19656170576715398,0.21977276509781093,0,0,0.0,0.9599687561023238,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer49/base_subj8_corrlh.npy
30B,4,5,"(10242,)",0.08847170141930244,0.09350625803169368,0.02321563428342992,-0.10701875711067327,0.15519156939484918,0,0,0.0,0.9813512985744972,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer5/base_subj4_corrlh.npy
