size,layer,n_subjects,mean_r,median_r,std_between_subjects,avg_zero_ratio,avg_positive_ratio,nan_total,inf_total
30B,25,5,0.07920100928284586,0.08806165571648342,0.07750088518905382,0.0,0.7735598515914861,0,0
30B,26,5,0.06267888049559145,0.07099682870782671,0.05429744638506929,0.0,0.776488966998633,0,0
30B,27,5,0.05575696748123915,0.06339800062569265,0.07104885275976072,0.0,0.6849834016793596,0,0
30B,28,5,0.05971757321874952,0.06741496745394322,0.040387433551630034,0.0,0.949170083967975,0,0
30B,29,5,0.0764835549550417,0.08423166823166847,0.05912334359241167,0.0,0.9545987111892209,0,0
30B,30,5,0.063972976340638,0.06978167495804805,0.07204257221393058,0.0,0.8062097246631517,0,0
30B,31,5,0.05445216108927119,0.06035118323930535,0.034334840648700314,0.0,0.7902167545401289,0,0
30B,32,5,0.08319013688346075,0.09036420692033828,0.061787548400087544,0.0,0.963444639718805,0,0
30B,33,5,0.06786682505227054,0.07477152913640783,0.09554325142539236,0.0,0.7695567272017184,0,0
30B,34,5,0.05175264513752413,0.057005618197661846,0.03962337209309812,0.0,0.9551064245264597,0,0
30B,35,5,0.07422126635605689,0.08279932381015336,0.0651466982534971,0.0,0.9297988674087092,0,0
30B,36,5,0.0851257767181228,0.09319736643828706,0.05084103617297429,0.0,0.9621167740675649,0,0
30B,37,5,0.05685488052145824,0.061938246533410735,0.0661018392698368,0.0,0.7928724858426088,0,0
30B,38,5,0.057337480893240866,0.06335597202990044,0.07827037436516047,0.0,0.8430970513571567,0,0
30B,39,5,0.029649435157148425,0.03225661918875039,0.03542846251793297,0.0,0.7536418668228861,0,0
30B,40,5,0.06437193458515518,0.07054108543567213,0.06415868622862037,0.0,0.9328256199960945,0,0
30B,41,5,0.05258360300435201,0.058635424242614385,0.05084346771476585,0.0,0.788498340167936,0,0
30B,42,5,0.04601349169462136,0.050566605713690316,0.061927347654953016,0.0,0.7851396211677406,0,0
30B,43,5,0.035969523136542135,0.03883344427036662,0.05629916908798861,0.0,0.596738918180043,0,0
30B,44,5,0.07844228925110974,0.08605691904001238,0.0706425617197107,0.0,0.7792813903534466,0,0
30B,45,5,0.023087868714627147,0.02678624601402168,0.04052216068020394,0.0,0.5839679750048818,0,0
30B,46,5,0.08679723514972208,0.09494784128151357,0.03900866994226909,0.0,0.9654364381956648,0,0
30B,47,5,0.0696755443515635,0.07720696739872794,0.07588801862868286,0.0,0.7724272603007225,0,0
30B,48,5,0.019572936297699847,0.019867080616638024,0.06908156408353705,0.0,0.60199179847686,0,0
30B,49,5,0.052481468232048134,0.05613841637686916,0.07913455026448286,0.0,0.7822886155047842,0,0
30B,50,5,0.07698129744407266,0.08479362005020367,0.06041411724936911,0.0,0.7749853544229642,0,0
30B,51,5,0.053889000609977214,0.05824372800846178,0.02793430754423275,0.0,0.9587580550673696,0,0
30B,52,5,0.10228310648259424,0.11245031779791928,0.06538988232731487,0.0,0.9631907830501856,0,0
30B,53,5,0.04914787093759528,0.05421552324352254,0.04407730474196953,0.0,0.7851005662956454,0,0
30B,54,5,0.07746402900931475,0.0861000514827934,0.035037195351977767,0.0,0.9582308142940832,0,0
30B,55,5,0.06344070139842475,0.06927999545740567,0.08301616779697933,0.0,0.6315758640890451,0,0
30B,56,5,0.02333371804187851,0.025650444347478613,0.04449031296609817,0.0,0.7637961335676626,0,0
30B,57,5,0.10935327902168393,0.11895826779086505,0.053269703128249773,0.0,0.9620777191954696,0,0
30B,58,5,0.0930271773285097,0.10204104685507605,0.08139734223574895,0.0,0.7824253075571177,0,0
30B,59,5,0.0767977392413343,0.08404269464119236,0.04698189808326645,0.0,0.9605936340558484,0,0
65B,0,5,0.09574178244869491,0.1048380596994872,0.058829519343900745,0.0,0.9648115602421402,0,0
65B,1,5,0.10936172211099586,0.11871341608696828,0.059357043721506526,0.0,0.9685217730911931,0,0
65B,2,5,0.10046167370735559,0.1096215957488242,0.08011519657496839,0.0,0.9676430384690491,0,0
65B,3,5,0.07916095084204423,0.08639637794730934,0.05317016559752312,0.0,0.9532513181019333,0,0
65B,4,5,0.09749944642642151,0.10704954298171572,0.07179337742833018,0.0,0.9615309509861355,0,0
65B,5,5,0.08056102662091127,0.08823775517711334,0.034303583818419275,0.0,0.9633470025385666,0,0
65B,6,5,0.0697352999308781,0.0765461790528639,0.047505344005177697,0.0,0.9196641280999804,0,0
65B,7,5,0.07405562554029975,0.08112649763708776,0.059385598058242124,0.0,0.9580550673696544,0,0
65B,8,5,0.06678037969923946,0.07214558656310535,0.06268372178834053,0.0,0.780980277289592,0,0
65B,9,5,0.09162969527491828,0.09989090562901906,0.0645581561890758,0.0,0.9661980082015231,0,0
65B,10,5,0.07661844410467186,0.08438282372035846,0.0571846033931417,0.0,0.7893380199179848,0,0
65B,11,5,0.08183270534644455,0.0902156403678096,0.04036930528827792,0.0,0.9621558289396603,0,0
65B,12,5,0.07714539246105565,0.08376080125713521,0.02549501310585078,0.0,0.9638351884397579,0,0
65B,13,5,0.05881842400370545,0.06264813042066072,0.04528610753148445,0.0,0.9604374145674672,0,0
65B,14,5,0.06374856734352778,0.06814788135480025,0.043628932416679624,0.0,0.9696543643819566,0,0
65B,15,5,0.08455874425223268,0.09278762541798878,0.06750509670153693,0.0,0.8270845537980863,0,0
65B,16,5,0.09442533226543567,0.10380522794681332,0.061399923013320264,0.0,0.9552821714508883,0,0
65B,17,5,0.07282956098653817,0.07858139893862812,0.06347636072869078,0.0,0.9527631322007422,0,0
65B,18,5,0.06309390908543042,0.06945177358264773,0.057867856990037686,0.0,0.7839484475688343,0,0
65B,19,5,0.012928392496424333,0.013935783520649123,0.03902975718086338,0.0,0.6358133177113845,0,0
65B,20,5,0.06917641696056327,0.07505270381578227,0.03833335284539416,0.0,0.9625854325327085,0,0
65B,21,5,0.0705279185270392,0.07817449376104726,0.08791480425953635,0.0,0.7682679164225737,0,0
65B,22,5,0.04009963966971568,0.044484254663225635,0.05856553572224794,0.0,0.7484866237063074,0,0
65B,23,5,0.07942551674856882,0.0858416214963731,0.053148140791818774,0.0,0.9622729935559461,0,0
65B,24,5,0.07555472562375806,0.08296922035305611,0.049046719602916206,0.0,0.9559265768404608,0,0
65B,25,5,0.03559719067733671,0.0386178010855215,0.046343815532595437,0.0,0.6069322397969146,0,0
